InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV-503660,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-12-03 20:50:19,34.5,CUST-10984,Netherlands
INV-501746,PROD-106,Leather Executive Notebook,Stationery,1,2025-12-03 04:52:25,22.5,CUST-10829,United Kingdom
INV-500495,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-08-13 23:02:29,34.5,CUST-10607,Spain
INV-500633,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-12-18 12:33:37,24.0,CUST-10587,Germany
INV-502817,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-11-24 13:22:02,28.99,CUST-10001,Germany
INV-502720,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-05-27 09:22:26,16.75,,United Kingdom
INV-500175,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-03-04 02:25:09,19.99,CUST-10689,United Kingdom
INV-503160,PROD-106,Leather Executive Notebook,Stationery,1,2025-10-21 07:02:38,22.5,CUST-11135,Germany
INV-500638,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-11-19 03:03:43,19.99,CUST-10203,Germany
INV-503357,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-11-21 07:59:16,19.99,CUST-10025,United States
INV-504392,PROD-106,Leather Executive Notebook,Stationery,3,2025-01-13 17:32:55,22.5,CUST-10107,United Kingdom
INV-500474,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-07-08 15:04:41,9.99,CUST-10867,Germany
INV-503827,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-10-14 13:41:29,28.99,CUST-10273,United Kingdom
INV-501646,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-07-27 16:08:17,16.75,CUST-10016,United Kingdom
INV-501958,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,5,2025-04-24 21:18:01,14.5,CUST-10297,United Kingdom
INV-504120,PROD-106,Leather Executive Notebook,Stationery,3,2025-01-22 13:07:39,22.5,CUST-10592,Netherlands
INV-500348,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-12-15 05:13:59,34.5,CUST-10875,Netherlands
INV-500636,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-08-02 07:36:50,28.99,CUST-11050,United Kingdom
INV-503614,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-06-20 03:10:47,18.25,CUST-10182,France
INV-503820,PROD-110,Smart LED Desk Lamp,Electronics,5,2025-11-19 21:01:05,45.0,CUST-10674,United Kingdom
INV-504322,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-02-23 03:51:47,45.0,CUST-10448,Germany
INV-504133,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-10-25 06:00:37,24.0,CUST-10587,Germany
INV-502617,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,5,2025-11-16 10:36:36,19.99,CUST-10419,United Kingdom
INV-501204,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-05-06 06:12:49,9.99,CUST-10239,France
INV-502161,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,4,2025-10-04 00:43:09,14.5,CUST-10511,United Kingdom
INV-502179,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-07-23 06:32:40,89.99,CUST-10803,United Kingdom
INV-500347,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-07-13 00:50:34,19.99,CUST-10438,Netherlands
INV-501203,PROD-106,Leather Executive Notebook,Stationery,6,2025-06-18 00:02:49,22.5,CUST-10771,United Kingdom
C500982,PROD-110,Smart LED Desk Lamp,Electronics,-10,2025-06-01 00:53:59,45.0,CUST-11020,Australia
INV-500731,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,10,2025-02-04 00:56:55,24.0,CUST-10522,United Kingdom
INV-502600,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-07-03 23:44:48,45.0,CUST-10570,United States
INV-500452,PROD-110,Smart LED Desk Lamp,Electronics,2,2025-10-13 21:22:24,45.0,CUST-10713,Germany
INV-504073,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-02-26 00:58:04,24.0,CUST-10112,United Kingdom
INV-502894,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-08-10 14:59:47,18.25,CUST-10404,Spain
INV-502234,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-10-30 05:03:45,24.0,CUST-10235,United Kingdom
INV-500163,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,20,2025-06-12 22:20:59,14.5,CUST-11029,France
INV-501447,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,4,2025-01-19 16:58:24,19.99,CUST-11137,France
INV-503869,PROD-104,Organic Lavender Candle,Home Decor,1,2025-09-21 05:48:56,12.0,CUST-10364,United Kingdom
INV-500101,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-10-09 11:00:12,24.0,CUST-10846,United Kingdom
INV-504054,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-04-23 23:35:46,24.0,CUST-11191,United Kingdom
INV-503707,PROD-104,Organic Lavender Candle,Home Decor,1,2025-11-23 11:05:52,12.0,CUST-10849,Spain
INV-501452,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-01-30 16:22:25,14.5,CUST-10051,United Kingdom
INV-502658,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-05-15 01:29:40,34.5,CUST-10299,United Kingdom
INV-500535,PROD-104,Organic Lavender Candle,Home Decor,3,2025-03-08 13:58:18,12.0,CUST-10862,United Kingdom
INV-501700,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-03-06 23:57:26,28.99,CUST-11085,Germany
INV-501463,PROD-104,Organic Lavender Candle,Home Decor,1,2025-10-19 22:27:01,12.0,CUST-10083,United Kingdom
INV-504219,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-01-25 07:34:20,34.5,CUST-11018,Australia
INV-504344,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-02-06 09:07:59,34.5,CUST-10923,United Kingdom
INV-501971,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-01-01 04:29:03,89.99,CUST-10889,United Kingdom
INV-501452,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-02-06 13:49:04,28.99,CUST-10914,United Kingdom
INV-501593,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-05-21 20:15:49,24.0,CUST-10502,United Kingdom
INV-500712,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,12,2025-08-20 08:46:18,18.25,CUST-10693,United Kingdom
INV-503655,PROD-106,Leather Executive Notebook,Stationery,4,2025-05-16 22:17:42,22.5,CUST-10098,Spain
INV-504342,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-07-07 15:55:31,16.75,CUST-10909,United Kingdom
INV-504084,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-05-08 17:43:35,89.99,CUST-10762,United Kingdom
INV-501448,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-07-20 19:51:59,16.75,CUST-10314,United States
INV-503648,PROD-104,Organic Lavender Candle,Home Decor,2,2025-05-07 05:19:38,12.0,CUST-10246,United Kingdom
INV-502013,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-09-14 21:04:17,16.75,CUST-10264,France
INV-500458,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-06-13 16:43:17,14.5,CUST-10424,United Kingdom
INV-502843,PROD-104,Organic Lavender Candle,Home Decor,1,2025-02-04 10:06:06,12.0,CUST-10794,United Kingdom
INV-500592,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-07-13 14:42:35,19.99,CUST-11081,United Kingdom
INV-500497,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,4,2025-07-10 11:38:31,14.5,CUST-10323,Germany
C502134,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,-1,2025-04-14 23:10:22,9.99,CUST-10791,Germany
INV-502449,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-01-23 14:53:39,16.75,CUST-10847,United Kingdom
INV-504292,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-09-22 12:18:16,34.5,CUST-10061,United Kingdom
INV-502811,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-10-17 06:19:51,34.5,CUST-10592,Germany
INV-500026,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-09-17 02:18:21,24.0,CUST-10962,United Kingdom
INV-503916,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-12-24 09:56:19,16.75,CUST-10868,Spain
INV-501717,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-03-16 10:14:54,19.99,CUST-10514,France
INV-502253,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-12-21 22:06:58,19.99,CUST-10747,France
INV-503642,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-03-13 13:40:50,18.25,CUST-10050,United Kingdom
INV-503655,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-09-16 19:43:14,24.0,CUST-10616,Germany
INV-503298,PROD-106,Leather Executive Notebook,Stationery,1,2025-07-07 11:36:10,22.5,CUST-10098,United Kingdom
INV-504457,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-06-22 06:11:40,89.99,CUST-10322,United Kingdom
INV-501283,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,4,2025-10-17 18:57:15,16.75,CUST-10591,United Kingdom
INV-501086,PROD-104,Organic Lavender Candle,Home Decor,1,2025-02-14 08:11:25,12.0,CUST-10403,France
INV-502015,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-03-02 11:11:25,18.25,CUST-10154,United Kingdom
INV-501715,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-03-24 18:29:15,19.99,CUST-10541,United Kingdom
INV-501726,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-05-03 09:01:11,18.25,CUST-10145,Australia
INV-500907,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-12-24 13:31:11,28.99,CUST-10925,United Kingdom
INV-503463,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-01-16 05:37:50,14.5,CUST-10863,United Kingdom
INV-504341,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,4,2025-03-07 03:48:18,18.25,CUST-10701,United Kingdom
INV-504442,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-05-25 20:04:25,34.5,CUST-10788,United Kingdom
INV-504467,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-06-11 11:02:09,9.99,CUST-10256,United Kingdom
INV-500808,PROD-106,Leather Executive Notebook,Stationery,1,2025-08-22 03:06:11,22.5,CUST-10714,United Kingdom
INV-502896,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-05-24 22:04:43,28.99,CUST-10438,United Kingdom
INV-502170,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-12-24 16:51:24,34.5,CUST-10536,United Kingdom
INV-503128,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-07-07 15:19:25,89.99,CUST-10174,United Kingdom
INV-504255,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-11-18 13:52:28,9.99,CUST-10712,United States
INV-501150,PROD-104,Organic Lavender Candle,Home Decor,1,2025-01-13 09:38:45,12.0,CUST-10490,United Kingdom
INV-503678,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-07-03 05:24:10,14.5,CUST-10604,United Kingdom
INV-501334,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-04-21 03:41:40,9.99,CUST-10561,Australia
INV-500517,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-10-17 23:30:00,14.5,CUST-10218,United Kingdom
INV-501288,PROD-104,Organic Lavender Candle,Home Decor,1,2025-10-22 01:14:01,12.0,CUST-11020,Spain
INV-500745,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,3,2025-08-03 05:22:12,9.99,CUST-11179,United Kingdom
INV-503967,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,4,2025-04-30 05:35:15,16.75,CUST-10056,France
INV-504235,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-02-24 11:39:57,45.0,CUST-10742,United Kingdom
INV-500697,PROD-110,Smart LED Desk Lamp,Electronics,4,2025-01-27 23:55:51,45.0,CUST-10337,United Kingdom
INV-503034,PROD-106,Leather Executive Notebook,Stationery,3,2025-04-28 03:46:55,22.5,CUST-10718,United Kingdom
INV-500474,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-08-09 04:05:32,14.5,CUST-10989,Australia
INV-503976,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-08-19 07:02:47,9.99,CUST-10923,United Kingdom
INV-500510,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-02-22 11:52:18,34.5,CUST-10301,United Kingdom
INV-500537,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-10-22 00:16:21,9.99,CUST-11012,United Kingdom
INV-502260,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-11-17 17:28:01,16.75,CUST-10246,United States
INV-502944,PROD-102,Wireless Ergonomic Mouse,Electronics,4,2025-08-21 16:16:49,28.99,CUST-10015,United Kingdom
INV-503874,PROD-106,Leather Executive Notebook,Stationery,1,2025-06-07 22:41:06,22.5,CUST-10210,United Kingdom
INV-501366,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-09-26 23:25:51,24.0,CUST-10816,United Kingdom
INV-501061,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-01-21 02:22:46,19.99,CUST-11045,Netherlands
INV-504328,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,4,2025-02-22 19:58:05,14.5,CUST-10617,United Kingdom
INV-502307,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-10-02 02:58:48,19.99,CUST-10118,United Kingdom
INV-500307,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-11-09 23:18:31,89.99,CUST-10505,United Kingdom
INV-504498,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,3,2025-10-08 10:03:34,19.99,CUST-10436,France
INV-500996,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,3,2025-08-02 16:05:35,19.99,CUST-10802,United Kingdom
INV-501284,PROD-105,Noise-Cancelling Headphones,Electronics,6,2025-01-31 12:39:48,89.99,CUST-11128,United Kingdom
INV-501129,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-12-03 05:15:53,18.25,CUST-10102,Germany
INV-500303,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-07-02 19:00:08,28.99,CUST-10704,Germany
INV-503891,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,4,2025-01-23 20:48:24,14.5,CUST-10824,United Kingdom
INV-500854,PROD-106,Leather Executive Notebook,Stationery,2,2025-02-01 09:28:23,22.5,CUST-11070,United States
INV-501745,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-03-15 19:42:29,24.0,CUST-10303,France
INV-500817,PROD-102,Wireless Ergonomic Mouse,Electronics,10,2025-01-10 13:41:04,28.99,CUST-10166,United Kingdom
INV-503649,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-02-23 05:35:56,28.99,CUST-10493,United Kingdom
INV-500972,PROD-105,Noise-Cancelling Headphones,Electronics,5,2025-02-21 03:43:43,89.99,CUST-10086,Spain
INV-504133,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-05-28 10:34:22,89.99,CUST-10119,United Kingdom
INV-501178,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-06-09 11:53:25,18.25,CUST-10945,United Kingdom
INV-500104,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-01-14 00:33:07,18.25,CUST-10352,Spain
INV-500254,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-06-27 17:29:39,14.5,CUST-11167,Netherlands
INV-502535,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-02-22 10:26:37,18.25,CUST-10349,Germany
INV-500590,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-12-01 23:18:25,16.75,CUST-11017,France
INV-500524,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-01-22 07:44:28,28.99,CUST-10769,United Kingdom
INV-500369,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,3,2025-01-30 21:22:50,14.5,CUST-11049,United Kingdom
INV-504197,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-07-10 17:43:25,16.75,CUST-10321,United Kingdom
INV-502963,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-09-17 22:14:44,89.99,CUST-10295,Netherlands
INV-500663,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-07-24 04:37:16,34.5,CUST-10130,Germany
INV-500689,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,6,2025-02-28 15:57:47,19.99,CUST-10016,Germany
INV-502646,PROD-104,Organic Lavender Candle,Home Decor,3,2025-09-21 04:43:27,12.0,CUST-10769,United Kingdom
C502588,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,-20,2025-01-12 21:21:04,34.5,CUST-10935,United Kingdom
INV-501535,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,5,2025-04-29 00:56:29,9.99,CUST-10921,United Kingdom
INV-502028,PROD-105,Noise-Cancelling Headphones,Electronics,4,2025-10-17 02:37:38,89.99,,United Kingdom
INV-501856,PROD-106,Leather Executive Notebook,Stationery,1,2025-12-04 19:01:21,22.5,CUST-11072,Germany
INV-503186,PROD-106,Leather Executive Notebook,Stationery,2,2025-09-05 20:48:08,22.5,CUST-10823,United Kingdom
INV-502769,PROD-106,Leather Executive Notebook,Stationery,1,2025-12-20 21:07:02,22.5,CUST-10075,United Kingdom
INV-502987,PROD-102,Wireless Ergonomic Mouse,Electronics,5,2025-05-07 11:30:00,28.99,CUST-10527,United Kingdom
INV-504475,PROD-110,Smart LED Desk Lamp,Electronics,4,2025-03-16 18:47:08,45.0,CUST-11029,United Kingdom
INV-501148,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-12-27 14:24:17,45.0,CUST-10033,Spain
INV-500780,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-07-23 17:52:47,16.75,CUST-10058,United Kingdom
INV-504405,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,12,2025-02-18 10:08:47,24.0,CUST-11090,United Kingdom
INV-502153,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-03-20 19:37:28,18.25,CUST-10254,United Kingdom
INV-500555,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-08-29 04:42:17,28.99,CUST-10402,United States
INV-503296,PROD-104,Organic Lavender Candle,Home Decor,1,2025-12-15 10:27:52,12.0,CUST-11180,United Kingdom
INV-503313,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-06-03 00:18:32,34.5,CUST-10031,United Kingdom
INV-504492,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,4,2025-10-01 09:52:25,16.75,CUST-10009,Germany
INV-502583,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-04-06 13:25:55,45.0,CUST-10730,United Kingdom
INV-503707,PROD-102,Wireless Ergonomic Mouse,Electronics,6,2025-08-02 20:59:21,28.99,CUST-10588,France
INV-503868,PROD-106,Leather Executive Notebook,Stationery,1,2025-10-21 09:28:02,22.5,CUST-10531,Germany
INV-503043,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-07-28 16:48:02,34.5,CUST-11179,United Kingdom
INV-503013,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,5,2025-12-09 21:58:18,18.25,CUST-11050,United Kingdom
INV-503844,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,5,2025-03-29 03:08:24,19.99,CUST-11176,United Kingdom
C501169,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,-1,2025-11-02 15:43:45,16.75,CUST-10891,Australia
INV-503262,PROD-104,Organic Lavender Candle,Home Decor,10,2025-09-21 20:09:11,12.0,CUST-10627,United Kingdom
INV-504022,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-11-21 12:28:05,89.99,CUST-10910,United Kingdom
INV-500200,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-11-16 19:47:26,9.99,CUST-10428,United Kingdom
INV-501890,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-06-06 03:29:48,24.0,CUST-10293,United Kingdom
INV-500011,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-06-05 05:49:27,19.99,CUST-10443,United Kingdom
INV-501976,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-05-19 06:44:16,19.99,,United Kingdom
INV-501325,PROD-105,Noise-Cancelling Headphones,Electronics,4,2025-05-01 16:12:28,89.99,CUST-10305,United Kingdom
INV-503371,PROD-104,Organic Lavender Candle,Home Decor,2,2025-03-06 06:57:32,12.0,CUST-11094,United States
INV-504070,PROD-104,Organic Lavender Candle,Home Decor,1,2025-04-17 22:29:32,12.0,CUST-10162,United Kingdom
INV-503556,PROD-105,Noise-Cancelling Headphones,Electronics,4,2025-05-27 16:14:39,89.99,CUST-10587,United Kingdom
INV-500365,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-05-17 22:25:32,18.25,CUST-11130,United Kingdom
INV-500656,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,4,2025-06-11 16:43:20,16.75,CUST-10630,United Kingdom
INV-500160,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,6,2025-04-10 23:13:45,9.99,CUST-10798,Germany
INV-500174,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-12-04 23:05:40,28.99,CUST-10608,France
INV-503470,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-11-03 00:41:46,9.99,CUST-10692,France
INV-504060,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-05-21 05:45:09,24.0,CUST-11024,Germany
INV-500544,PROD-104,Organic Lavender Candle,Home Decor,1,2025-03-24 16:15:35,12.0,CUST-10475,United Kingdom
INV-503854,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-06-26 12:27:20,34.5,CUST-10963,United Kingdom
INV-501761,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-07-17 16:49:47,24.0,CUST-10064,United Kingdom
C500956,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,-1,2025-04-22 16:28:41,34.5,CUST-10910,United Kingdom
INV-500451,PROD-104,Organic Lavender Candle,Home Decor,1,2025-02-25 12:00:02,12.0,CUST-10614,Australia
INV-500081,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-06-28 15:43:08,19.99,CUST-10421,United Kingdom
INV-501236,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-07-05 00:51:30,28.99,CUST-11004,United Kingdom
INV-500446,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-08-06 16:27:11,24.0,CUST-11174,United Kingdom
INV-502165,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-11-12 05:59:12,9.99,CUST-11015,Netherlands
INV-501619,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-08-05 22:17:07,16.75,CUST-10006,United Kingdom
INV-501793,PROD-106,Leather Executive Notebook,Stationery,6,2025-04-30 09:22:21,22.5,CUST-10972,United Kingdom
INV-503314,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,20,2025-06-24 06:01:01,24.0,CUST-11019,United Kingdom
INV-501173,PROD-106,Leather Executive Notebook,Stationery,1,2025-01-23 11:23:45,22.5,CUST-10103,United Kingdom
INV-500645,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-08-01 01:41:32,28.99,CUST-10463,United Kingdom
INV-500378,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-08-23 09:54:34,16.75,CUST-10847,United Kingdom
INV-502655,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-01-13 00:09:30,89.99,CUST-10350,United Kingdom
INV-503584,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-04-11 03:21:24,9.99,CUST-10365,United Kingdom
INV-503733,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-01-24 18:17:23,18.25,CUST-10181,Germany
INV-501140,PROD-104,Organic Lavender Candle,Home Decor,2,2025-12-30 16:52:32,12.0,CUST-10242,United Kingdom
INV-503735,PROD-104,Organic Lavender Candle,Home Decor,1,2025-01-11 19:14:38,12.0,CUST-10219,United States
INV-502013,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,10,2025-09-30 00:12:45,9.99,CUST-10428,France
INV-500661,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-10-08 06:43:18,16.75,CUST-10807,United Kingdom
INV-500011,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-04-04 17:00:01,19.99,CUST-10034,United Kingdom
INV-500387,PROD-105,Noise-Cancelling Headphones,Electronics,3,2025-07-20 20:21:11,89.99,CUST-10674,Germany
INV-503023,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-01-21 22:42:18,28.99,CUST-10861,Germany
INV-503833,PROD-106,Leather Executive Notebook,Stationery,1,2025-12-06 13:06:39,22.5,CUST-11185,United Kingdom
INV-501919,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,3,2025-07-30 03:09:37,9.99,CUST-10407,United Kingdom
INV-504491,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-05-20 22:10:33,24.0,CUST-10003,France
INV-502592,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-10-20 02:13:56,34.5,CUST-10360,United Kingdom
INV-502708,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-10-25 11:12:44,89.99,CUST-10989,France
INV-500099,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,12,2025-04-11 10:24:03,34.5,CUST-10589,United Kingdom
INV-504076,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-10-31 00:27:43,34.5,CUST-11059,United Kingdom
INV-502771,PROD-104,Organic Lavender Candle,Home Decor,1,2025-12-25 10:54:04,12.0,CUST-10334,United States
INV-504169,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,4,2025-01-28 16:13:11,24.0,CUST-10284,Germany
INV-502377,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,4,2025-02-10 21:32:44,9.99,CUST-11059,United Kingdom
INV-501863,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-12-21 23:42:39,16.75,CUST-10394,United Kingdom
INV-504019,PROD-110,Smart LED Desk Lamp,Electronics,2,2025-10-30 04:11:17,45.0,CUST-10566,Netherlands
INV-504270,PROD-104,Organic Lavender Candle,Home Decor,1,2025-05-26 16:04:09,12.0,CUST-11072,United States
